Venue,Result,GF,GA,Opponent,xG,xGA,Team
Away,D,1.0,1.0,Burnley,0.9,1.1,LutonTown
Home,W,4.0,0.0,Brighton,3.1,0.9,LutonTown
Away,D,4.0,4.0,Newcastle Utd,2.4,2.3,LutonTown
Home,L,1.0,3.0,Sheffield Utd,1.8,1.7,LutonTown
Home,L,1.0,2.0,Manchester Utd,1.8,2.9,LutonTown
Away,L,1.0,4.0,Liverpool,0.9,3.3,LutonTown
Home,L,0.0,3.0,Manchester City,0.3,1.9,Burnley
Home,L,1.0,3.0,Aston Villa,0.7,2.5,Burnley
Home,L,2.0,5.0,Tottenham,1.3,2.2,Burnley
Away,D,1.0,1.0,Nott'ham Forest,0.5,0.7,Burnley
Home,L,0.0,1.0,Manchester Utd,1.1,1.0,Burnley
Away,L,0.0,2.0,Newcastle Utd,0.6,3.1,Burnley
Away,W,2.0,1.0,Luton Town,1.1,1.3,Burnley
Home,L,1.0,4.0,Chelsea,0.7,1.9,Burnley
Away,L,0.0,3.0,Brentford,1.1,3.1,Burnley
Away,L,1.0,2.0,Bournemouth,0.8,1.1,Burnley
Home,L,0.0,2.0,Crystal Palace,1.1,1.3,Burnley
Away,L,1.0,3.0,Arsenal,0.3,1.8,Burnley
Home,L,1.0,2.0,West Ham,1.3,0.9,Burnley
Home,W,5.0,0.0,Sheffield Utd,1.8,0.4,Burnley
Away,L,0.0,1.0,Wolves,0.9,0.8,Burnley
Away,D,1.0,1.0,Brighton,0.6,2.6,Burnley
Home,L,0.0,2.0,Everton,0.7,1.4,Burnley
Away,W,2.0,0.0,Fulham,0.4,1.3,Burnley
Home,L,0.0,2.0,Liverpool,0.8,1.8,Burnley
Away,L,2.0,3.0,Aston Villa,1.2,3.2,Burnley
Home,D,1.0,1.0,Luton Town,1.1,0.9,Burnley
Away,L,1.0,3.0,Manchester City,1.4,1.7,Burnley
Home,D,2.0,2.0,Fulham,1.8,1.5,Burnley
Away,L,1.0,3.0,Liverpool,1.3,2.8,Burnley
Home,L,0.0,5.0,Arsenal,0.3,2.3,Burnley
Away,L,0.0,3.0,Crystal Palace,0.1,2.4,Burnley
Home,L,0.0,1.0,Crystal Palace,0.5,1.9,SheffieldUnited
Away,L,1.0,2.0,Nott'ham Forest,0.5,1.4,SheffieldUnited
Home,L,1.0,2.0,Manchester City,0.7,3.5,SheffieldUnited
Home,D,2.0,2.0,Everton,1.2,2.5,SheffieldUnited
Away,L,1.0,2.0,Tottenham,0.7,2.1,SheffieldUnited
Home,L,0.0,8.0,Newcastle Utd,0.9,3.9,SheffieldUnited
Away,L,0.0,2.0,West Ham,1.1,2.1,SheffieldUnited
Away,L,1.0,3.0,Fulham,0.6,2.2,SheffieldUnited
Home,L,1.0,2.0,Manchester Utd,1.4,1.1,SheffieldUnited
Away,L,0.0,5.0,Arsenal,0.0,2.8,SheffieldUnited
Home,W,2.0,1.0,Wolves,1.0,1.2,SheffieldUnited
Away,D,1.0,1.0,Brighton,1.1,1.5,SheffieldUnited
Home,L,1.0,3.0,Bournemouth,0.8,2.9,SheffieldUnited
Away,L,0.0,5.0,Burnley,0.4,1.8,SheffieldUnited
Home,L,0.0,2.0,Liverpool,1.0,1.7,SheffieldUnited
Home,W,1.0,0.0,Brentford,0.8,0.6,SheffieldUnited
Away,L,0.0,2.0,Chelsea,0.4,3.1,SheffieldUnited
Away,D,1.0,1.0,Aston Villa,0.6,0.9,SheffieldUnited
Home,L,2.0,3.0,Luton Town,2.4,0.6,SheffieldUnited
Away,L,0.0,2.0,Manchester City,0.3,2.2,SheffieldUnited
Home,D,2.0,2.0,West Ham,2.5,2.3,SheffieldUnited
Away,L,2.0,3.0,Crystal Palace,0.8,1.1,SheffieldUnited
Home,L,0.0,5.0,Aston Villa,1.4,2.2,SheffieldUnited
Away,W,3.0,1.0,Luton Town,1.7,1.8,SheffieldUnited
Home,L,0.0,5.0,Brighton,0.6,2.9,SheffieldUnited
Away,L,0.0,1.0,Wolves,0.6,1.2,SheffieldUnited
